test,intent,question,answer,counter
,Alessandro_Volta,How old was Alessandro Volta when he died?, 82,1
,Alessandro_Volta,"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215,2
,Alessandro_Volta,For how many years did Alessandro Volta live?,53,3
,Alessandro_Volta,His passion been always the study of what?,Electricity,4
,Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815,5
,Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,6
,Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no,7
,Alessandro_Volta,What was Alessandro Volta`s profession?,physisist,8
,Alessandro_Volta,Where did Volta enter retirement?,Spain,9
,Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,10
,Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,11
,Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt,12
,Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt,13
,Alessandro_Volta,Was Volta an Italian physicist?,yes,14
,Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,15
,Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,16
,Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,17
,Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,18
,Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes,19
,Alessandro_Volta,Is volta buried in the city  of Como?,Yes,20
,Alessandro_Volta,Was his 1800  paper written in French?,Yes,21
,Alessandro_Volta,"Before 1796, was Lombardy ruled by Austria?",yes,22
,Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes,23
,Alessandro_Volta,Did he experiment with individual cells?,Yes,24
,Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes,25
,Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes,26
,Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,27
,Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes,28
,Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823,29
,Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853,30
,Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,31
,Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,32
,Amedeo_Avogadro,What is Amedeo Avogadro?,A person.,33
,Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo,34
,Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro,35
,Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number,36
,Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,37
,Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,38
,Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.,39
,Amedeo_Avogadro,Did Avogadro live in England?,No,40
,Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no,41
,Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,42
,Amedeo_Avogadro,How many children did Avogadro have?,six,43
,Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin,44
,Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,45
,Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes,46
,Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes,47
,Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,48
,Amedeo_Avogadro,"In fact, was Avogadro `s  famous  1811  paper written in French . )",Yes,49
,Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,50
,Amedeo_Avogadro,"Hence, can relative molecular  masses be calculated from the masses  of gas samples?",Yes,51
,Amedeo_Avogadro,Did he publish his work?,Yes,52
,Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes,53
,Amedeo_Avogadro,"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes,54
,Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.,55
,Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,56
,Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale ,57
,Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,58
,Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733 ,59
,Anders_Celsius,How old was Celsius when he died?,42,60
